Date of Transaction,Analyst Name,TransactionID,Account Number,Stage,Status,Transaction Amount,Alert Category
2024-07-06,Kari Rhodes,T381308,8186301190,In Progress,Risk,6973,Fraud
2024-07-06,Christine Davis,T343513,8930762089,In Progress,Risk,-6810,Investment Scam
2024-07-30,Kari Rhodes,T675507,7322679298,In Progress,Risk,-270,Money Laundering
2024-04-12,Whitney Wilson,T539381,4567505319,Closed-No Risk,Risk,4620,Investment Scam
2024-11-17,Jeffrey Moore,T827232,9491396077,In Progress,Risk,2840,Fraud
2024-05-20,William Melton,T911619,7462234991,Closed-No Risk,Risk,-1079,Fraud
2024-12-17,Jeffrey Moore,T458264,7064255769,Closed-Risk,Risk,-5104,Money Laundering
2024-09-06,Ryan Mejia,T451204,7542888960,Closed-Risk,Risk,4714,Fraud
2024-12-16,Nicole Long,T276913,6552198625,In Progress,Risk,-7947,Tax Evasion
2024-06-24,Kari Rhodes,T528369,5877069579,Closed-No Risk,Risk,3199,Investment Scam
2024-11-30,Robin Lowe,T447963,1941496048,In Progress,Risk,8629,Fraud
2024-05-06,Nicole Long,T976663,1704391260,In Progress,Risk,-1347,Money Laundering
2024-06-02,William Melton,T525010,5117306948,Closed-Risk,Risk,8825,Money Laundering
2024-07-23,Christine Davis,T747310,7664268668,In Progress,Risk,5514,Money Laundering
2024-01-26,Christine Davis,T105536,5388940166,Closed-No Risk,Risk,7053,Investment Scam
2025-01-12,Melissa Holt,T107424,2667126735,In Progress,Risk,-7429,Investment Scam
2024-01-27,Christine Davis,T424609,4720486807,Closed-No Risk,Risk,77,Investment Scam
2024-01-27,Whitney Wilson,T682439,5913638678,In Progress,Risk,-1093,Tax Evasion
2024-05-09,Whitney Wilson,T270227,6054635244,Closed-Risk,Risk,1781,Money Laundering
2024-03-04,Donna Snow,T180478,1712416898,In Progress,Risk,-3805,Tax Evasion
2024-09-07,Kari Rhodes,T577391,5845501914,In Progress,Risk,7008,Fraud
2024-02-11,Kathleen Raymond,T163646,4826147813,Closed-No Risk,Risk,-698,Fraud
2024-04-22,Kari Rhodes,T481316,7076469287,In Progress,Risk,-1539,Investment Scam
2024-11-01,Ryan Mejia,T642040,5707752963,Closed-No Risk,Risk,-4861,Investment Scam
2024-03-01,Donna Snow,T134417,4018614531,Closed-No Risk,Risk,-5952,Tax Evasion
2024-04-16,Whitney Wilson,T849807,9769648147,In Progress,Risk,1122,Fraud
2024-04-17,William Melton,T635292,4023982964,In Progress,Risk,5734,Money Laundering
2024-02-02,Donna Snow,T457966,7652332723,Closed-Risk,Risk,6840,Fraud
2024-03-20,Samuel Barry,T366407,4159250375,Closed-No Risk,Risk,3975,Investment Scam
2024-12-09,Robin Lowe,T503173,2389049998,Closed-Risk,Risk,-4186,Investment Scam
2024-09-24,Jeffrey Moore,T368714,3547749730,Closed-No Risk,Risk,-1164,Fraud
2024-06-21,Kari Rhodes,T564516,1782311990,Closed-Risk,Risk,-7812,Fraud
2024-05-15,Nicole Long,T614107,2904290160,Closed-No Risk,Risk,-6302,Investment Scam
2024-05-08,Samuel Barry,T574127,8986321415,Closed-No Risk,Risk,-2968,Tax Evasion
