Date of Transaction,Transaction Amount,Account Name,TransactionID,Transaction Type,Location (City),Alert Category,Account Number,Status,Current Balance
2024-05-20,-1079,Account 18421,T911619,Transfer out,New Marc,Fraud,7462234991,Risk,0
2024-03-11,-2796,Account 15789,T899476,Transfer out,West Melissamouth,Investment Scam,6822532243,No Risk,0
2024-07-09,-8536,Account 38758,T594947,Transfer out,Arnoldville,Investment Scam,1560127564,No Risk,7652
2024-12-21,-8245,Account 85849,T533907,Transfer out,Gonzalesborough,Money Laundering,9881931363,No Risk,2643
2024-11-22,-1948,Account 25109,T500852,Transfer out,North Markbury,Investment Scam,9023464222,Risk,0
2024-01-30,-8423,Account 1679,T771306,Transfer out,East Latoya,Money Laundering,3919841515,No Risk,4245
2024-08-15,-3513,Account 101481,T896982,Transfer out,Dawnborough,Investment Scam,2962105953,No Risk,2962
2024-07-07,-1861,Account 9193,T670081,Transfer out,Jorgeberg,Money Laundering,3461188795,No Risk,0
2024-02-08,-7357,Account 12803,T475015,Transfer out,East Alanborough,Fraud,1441029981,No Risk,5542
2024-10-24,-1379,Account 94925,T990798,Transfer out,Port Madison,Fraud,2165697074,No Risk,0
2024-08-24,-1560,Account 51496,T583900,Transfer out,West Jessicashire,Money Laundering,2310668077,No Risk,0
2024-05-07,-3326,Account 68510,T445628,Transfer out,Lake Anthony,Tax Evasion,6661392533,No Risk,1318
2024-08-13,-7259,Account 89738,T608395,Transfer out,Port Jillburgh,Money Laundering,9647555781,Risk,1383
2024-11-23,-8231,Account 73114,T550125,Transfer out,Port Timothyshire,Tax Evasion,9070256501,No Risk,4066
2024-05-28,-2162,Account 23442,T863593,Transfer out,Josephland,Fraud,3476878332,No Risk,0
2024-02-06,-5137,Account 19890,T415854,Transfer out,North Rhonda,Money Laundering,3955893054,No Risk,3810
2024-05-03,-5459,Account 12645,T170960,Transfer out,South Dana,Investment Scam,6602420378,No Risk,2591
2024-08-03,-3785,Account 79427,T822786,Transfer out,Port Craig,Tax Evasion,9733237287,No Risk,0
2024-05-18,-482,Account 2641,T329266,Transfer out,West Zachary,Fraud,4328294091,No Risk,0
2024-11-21,-5363,Account 48887,T184834,Transfer out,West Charlesmouth,Money Laundering,4404651215,No Risk,0
2024-01-26,-6697,Account 96310,T785914,Transfer out,Jimmybury,Investment Scam,9718810362,No Risk,0
2024-02-26,-7024,Account 59242,T149381,Transfer out,South Tamara,Tax Evasion,8775016836,No Risk,0
2024-10-10,-9738,Account 2844,T101698,Transfer out,Hernandezhaven,Money Laundering,5054293882,Risk,8953
2024-12-03,-3690,Account 50567,T580438,Transfer out,South Amberstad,Investment Scam,4814875267,Risk,0
2024-10-28,-6088,Account 56034,T314834,Transfer out,Rebeccamouth,Tax Evasion,8403640412,Risk,4282
2024-10-22,-6592,Account 34809,T607509,Transfer out,Smithside,Fraud,7381339832,No Risk,0
2024-12-02,-3818,Account 18929,T197725,Transfer out,New Jackstad,Investment Scam,6713718021,No Risk,0
2024-09-07,-1601,Account 3903,T451149,Transfer out,New Jasonshire,Investment Scam,9650978914,Risk,0
2024-07-25,-4233,Account 85910,T140587,Transfer out,Mcleanbury,Money Laundering,4359010308,No Risk,3091
2024-11-24,-4674,Account 64401,T862148,Transfer out,Freyton,Tax Evasion,5332220601,No Risk,1694
2024-10-26,-5194,Account 31221,T329521,Transfer out,New Paul,Fraud,7088883592,No Risk,0
2024-04-26,-5842,Account 79292,T654095,Transfer out,North Janet,Fraud,3431476500,No Risk,2021
